ID,FED,TITLE,LASTNAME,FIRSTNAME,GAMES,RATING,RD,STATUS
896100,PHI,CCM,Sinsuat, Datuali,81,2567,93,
896098,PHI,SIM,Ramos, Francis A.,59,2415,101,
896041,PHI,IM,Germanes, Ramil,16,2469,139,
896175,PHI,IM,Javier, Christian C.,10,2143,150,
896217,PHI,CCM,Manaois, Manolito,10,2095,150,
896280,PHI,CCE,Serna, Joselito,10,1817,123,
896209,PHI,,Simplina, Ardie Boy,10,1812,150,
896215,PHI,CCE,Tagoc, Charlie,10,1782,150,
896246,PHI,CCE,Coronel, Timothy,8,2135,163,
896242,PHI,,Quilang, Aaron James,8,2128,163,
896405,PHI,,Adolfo, Samuel,0,Unrated,0,No 960 Games
896374,PHI,,Advincula, Dion,0,Unrated,0,No 960 Games
896036,PHI,,Agaton, Mark Anthony,0,Unrated,0,No 960 Games
896305,PHI,,Agcaoili, Jacob,0,Unrated,0,No 960 Games
896058,PHI,,Aguilar, Josef-Jake,0,Unrated,0,No 960 Games
896028,PHI,,Ajo, Alfred,0,Unrated,0,No 960 Games
896046,PHI,,Alcala, Alvin,0,Unrated,0,No 960 Games
896044,PHI,,Alcausin, Aldrich,0,Unrated,0,No 960 Games
896050,PHI,,Altea, Ed,0,Unrated,0,No 960 Games
896243,PHI,,Andres, Carlito jr,0,Unrated,0,No 960 Games
896245,PHI,CCM,Andres, Clinton Paulo,0,Unrated,0,No 960 Games
896247,PHI,,Andres, Genesis Jahk,0,Unrated,0,No 960 Games
896383,PHI,,Anonuevo, Jonathan,0,Unrated,0,No 960 Games
896075,PHI,,Arani, Darious,0,Unrated,0,No 960 Games
896339,PHI,,Arcenal, Xerxes,0,Unrated,0,No 960 Games
896397,PHI,,Asanji, Abraham,0,Unrated,0,No 960 Games
896166,PHI,,Asi, Emmanuel,0,Unrated,0,No 960 Games
896413,PHI,,Ayuma, Lou,0,Unrated,0,No 960 Games
896230,PHI,,Balas, Mark Edwin,0,Unrated,0,No 960 Games
896357,PHI,,Balona, Joshua,0,Unrated,0,No 960 Games
518874,PHI,,Banawa, Joel,0,Unrated,0,No 960 Games
896386,PHI,,Banawa, Stewart,0,Unrated,0,No 960 Games
896358,PHI,,Barton, Ethan Douglas V,0,Unrated,0,No 960 Games
896369,PHI,,Batingal, Glenn Rejie,0,Unrated,0,No 960 Games
896396,PHI,,Bautista, Miel,0,Unrated,0,No 960 Games
896356,PHI,,Bayola, Reniel,0,Unrated,0,No 960 Games
896030,PHI,,Bayon, Chito,0,Unrated,0,No 960 Games
896406,PHI,,Bernabe, Ian Russ,0,Unrated,0,No 960 Games
896362,PHI,,Bernabe, Jefferson,0,Unrated,0,No 960 Games
896229,PHI,,Bordon, Sheryll,0,Unrated,0,No 960 Games
896321,PHI,,Borja, Zyrel,0,Unrated,0,No 960 Games
896314,PHI,,Buenaventura, Francis,0,Unrated,0,No 960 Games
896327,PHI,,Bumatay, John Robert,0,Unrated,0,No 960 Games
896142,PHI,,Cabuyao, Marfin Loi,0,Unrated,0,No 960 Games
896034,PHI,,Cadalin, Jose,0,Unrated,0,No 960 Games
896293,PHI,,Carillo, Jasper,0,Unrated,0,No 960 Games
896012,PHI,,Carlos, Leonardo M.,0,Unrated,0,No 960 Games
896053,PHI,CCM,Castillo, Eric,0,Unrated,0,No 960 Games
896302,PHI,,Chiong, Vic Joseph,0,Unrated,0,No 960 Games
896365,PHI,,Combate, Mizael Meru,0,Unrated,0,No 960 Games
896172,PHI,,Como, Marvin,0,Unrated,0,No 960 Games
896255,PHI,,Coronel, Timon,0,Unrated,0,No 960 Games
896021,PHI,,Cuaresma, Dysanne Allister,0,Unrated,0,No 960 Games
896026,PHI,,Cuaycong, Virgilio,0,Unrated,0,No 960 Games
896033,PHI,,Cuison, Reno,0,Unrated,0,No 960 Games
896160,PHI,,Dacpano, Frances Irene,0,Unrated,0,No 960 Games
896218,PHI,,Daligdig, Garry,0,Unrated,0,No 960 Games
896040,PHI,,Datuin, Jean Paul G.,0,Unrated,0,No 960 Games
896269,PHI,,De Leon, Carlyle Jered,0,Unrated,0,No 960 Games
896027,PHI,,De Velez, G.,0,Unrated,0,No 960 Games
896003,PHI,,De Velez, Geoffrey Allen,0,Unrated,0,No 960 Games
896309,PHI,,dela Cruz, Charlz,0,Unrated,0,No 960 Games
896038,PHI,,Delfino, Clodelio,0,Unrated,0,No 960 Games
896398,PHI,,Diaz, Llèwelyn,0,Unrated,0,No 960 Games
896410,PHI,,Dizon, Adonis,0,Unrated,0,No 960 Games
896341,PHI,,Dulatre, Mark Anthony,0,Unrated,0,No 960 Games
896266,PHI,CCE,Duron, Wens Zaren,0,Unrated,0,No 960 Games
896159,PHI,,Dynaque, Dennis,0,Unrated,0,No 960 Games
896364,PHI,,Ejes, Eliezer,0,Unrated,0,No 960 Games
896389,PHI,,Enciso, Zuriel,0,Unrated,0,No 960 Games
896328,PHI,,Fajardo, Robe,0,Unrated,0,No 960 Games
896329,PHI,,Fernandez, Bencelie,0,Unrated,0,No 960 Games
896288,PHI,,Foronda III, Melchor,0,Unrated,0,No 960 Games
896273,PHI,,Foronda, Sophia,0,Unrated,0,No 960 Games
896319,PHI,,Frias, Jennah,0,Unrated,0,No 960 Games
896399,PHI,,Frias, Roylan,0,Unrated,0,No 960 Games
896296,PHI,,Garcia, Eliezer,0,Unrated,0,No 960 Games
896352,PHI,,Garcia, Jeb Royz,0,Unrated,0,No 960 Games
20578,PHI,,García, Miguel,0,Unrated,0,No 960 Games
896295,PHI,,Gaygay, Angielyn,0,Unrated,0,No 960 Games
896348,PHI,,Gecale, John Mark,0,Unrated,0,No 960 Games
896118,PHI,,Gonsalez, Cris,0,Unrated,0,No 960 Games
896071,PHI,,Guaniezo, Anatoly,0,Unrated,0,No 960 Games
896020,PHI,,Guinto, Noel L.,0,Unrated,0,No 960 Games
896274,PHI,,Habaradas, Paul Emmanuel,0,Unrated,0,No 960 Games
896270,PHI,,Hernani, Yreil Josh,0,Unrated,0,No 960 Games
896024,PHI,,Ho, Adrian,0,Unrated,0,No 960 Games
896335,PHI,,Imperial, Genghis,0,Unrated,0,No 960 Games
896042,PHI,,Jacinto, Arjay,0,Unrated,0,No 960 Games
896402,PHI,,Jacinto, Estefanie Grace,0,Unrated,0,No 960 Games
896043,PHI,,Jacinto, Lelouch,0,Unrated,0,No 960 Games
896188,PHI,CCM,Javier, Guilbert,0,Unrated,0,No 960 Games
896330,PHI,,Javier, Kelvin,0,Unrated,0,No 960 Games
896032,PHI,,Jucutan, Eduardo,0,Unrated,0,No 960 Games
896004,PHI,,Khu, K.,0,Unrated,0,No 960 Games
896016,PHI,CCM,Lachica Jr., Cesar G.,0,Unrated,0,No 960 Games
896304,PHI,,Lagria, Michael Antonio,0,Unrated,0,No 960 Games
