ID,FED,TITLE,LASTNAME,FIRSTNAME,GAMES,RATING,RD,STATUS
896374,PHI,,Advincula, Dion,2,1564,217,
896036,PHI,,Agaton, Mark Anthony,0,1800,250,i
896305,PHI,,Agcaoili, Jacob Angelo,6,1668,181,
896058,PHI,,Aguilar, Josef-Jake,12,1770,139,i
896028,PHI,,Ajo, Alfred,0,1800,250,i
896046,PHI,,Alcala, Alvin,12,1645,139,i
896044,PHI,,Alcausin, Aldrich,0,1800,250,i
896050,PHI,,Altea, Ed,0,1800,250,i
896243,PHI,,Andres, Carlito jr,28,1977,115,i
896245,PHI,CCE,Andres, Clinton Paulo,85,2283,91,
896247,PHI,,Andres, Genesis Jahk,25,1926,115,
896383,PHI,,Anonuevo, Jonathan,0,1800,250,
896075,PHI,,Arani, Darious,0,1800,250,i
896339,PHI,,Arcenal, Xerxes,2,1702,227,
896397,PHI,,Asanji, Abraham,0,1800,250,
896166,PHI,,Asi, Emmanuel,232,1984,77,
896230,PHI,,Balas, Mark Edwin,22,1768,120,i
896357,PHI,,Balona, Joshua,6,1684,183,
518874,PHI,,Banawa, Joel,16,2247,118,
896386,PHI,,Banawa, Stewart,0,1800,250,
896358,PHI,,Barton, Ethan Douglas V,6,2045,182,
896369,PHI,,Batingal, Glenn Rejie,0,1800,250,i
896396,PHI,,Bautista, Miel,0,1800,250,i
896356,PHI,,Bayola, Reniel,5,1509,187,
896030,PHI,,Bayon, Chito,7,1800,250,i
896362,PHI,,Bernabe, Jefferson,5,2044,188,
896229,PHI,,Bordon, Sheryll,88,1886,98,
896321,PHI,,Borja, Zyrel,14,1527,129,
896314,PHI,,Buenaventura, Francis,2,1693,225,
896327,PHI,,Bumatay, John Robert,0,1800,250,
896142,PHI,,Cabuyao, Marfin Loi,0,1800,250,i
896034,PHI,,Cadalin, Jose,7,1800,250,i
896293,PHI,,Carillo, Jasper,12,1569,139,
896012,PHI,,Carlos, Leonardo M.,10,1800,250,i
896053,PHI,CCM,Castillo, Eric,180,2269,77,
896302,PHI,,Chiong, Vic Joseph,6,2095,182,
896365,PHI,,Combate, Mizael Meru,0,1800,250,i
896172,PHI,,Como, Marvin,0,1800,250,i
896255,PHI,,Coronel, Timon,32,1682,115,
896246,PHI,CCE,Coronel, Timothy,81,2247,90,
896021,PHI,,Cuaresma, Dysanne Allister,8,1800,250,i
896026,PHI,,Cuaycong, Virgilio,9,1800,250,i
896033,PHI,,Cuison, Reno,7,1800,250,i
896160,PHI,,Dacpano, Frances Irene,18,1186,120,i
896218,PHI,,Daligdig, Garry,52,1689,113,
896040,PHI,,Datuin, Jean Paul G.,6,1800,250,i
896269,PHI,,De Leon, Carlyle Jered,8,1381,163,i
896027,PHI,,De Velez, G.,8,1800,250,i
896003,PHI,,De Velez, Geoffrey Allen,78,1786,115,i
896309,PHI,,dela Cruz, Charlz,0,1800,250,i
896038,PHI,,Delfino, Clodelio,0,1800,250,i
896398,PHI,,Diaz, Llèwelyn,0,1800,250,
896341,PHI,,Dulatre, Mark Anthony,17,1355,129,
896266,PHI,CCE,Duron, Wens Zaren,72,2217,91,
896159,PHI,,Dynaque, Dennis,0,1800,250,i
896364,PHI,,Ejes, Eliezer,5,1860,189,
896389,PHI,,Enciso, Zuriel,0,1800,250,i
896328,PHI,,Fajardo, Robe,23,1647,120,
896329,PHI,,Fernandez, Bencelie,8,1584,163,
896288,PHI,,Foronda III, Melchor,16,1492,122,i
896273,PHI,,Foronda, Sophia,0,1800,250,i
896319,PHI,,Frias, Jennah,34,1470,98,
896399,PHI,,Frias, Roylan,0,1800,250,
896296,PHI,,Garcia, Eliezer,2,1385,222,i
896352,PHI,,Garcia, Jeb Royz,6,1950,178,
20578,PHI,,García, Miguel,0,1800,250,i
896295,PHI,,Gaygay, Angielyn,6,1178,180,i
896348,PHI,,Gecale, John Mark,9,1919,160,
896041,PHI,IM,Germanes, Ramil,273,2430,70,
896118,PHI,,Gonsalez, Cris,0,1800,250,i
896071,PHI,,Guaniezo, Anatoly,0,1800,250,i
896020,PHI,,Guinto, Noel L.,6,1800,250,i
896274,PHI,,Habaradas, Paul Emmanuel,4,1420,199,
896270,PHI,,Hernani, Yreil Josh,6,1134,180,i
896024,PHI,,Ho, Adrian,30,1941,115,i
896335,PHI,,Imperial, Genghis,4,1729,191,
896042,PHI,,Jacinto, Arjay,0,1800,250,i
896043,PHI,,Jacinto, Lelouch,0,1800,250,i
896175,PHI,CCM,Javier, Christian C.,276,2343,71,
896188,PHI,CCM,Javier, Guilbert,171,2334,78,
896330,PHI,,Javier, Kelvin,8,1435,163,
896032,PHI,,Jucutan, Eduardo,7,1800,250,i
896004,PHI,,Khu, K.,7,1800,250,i
896016,PHI,CCE,Lachica Jr., Cesar G.,98,2321,71,
896304,PHI,,Lagria, Michael Antonio,18,1634,125,
896019,PHI,,Linatoc, Ben,6,1800,250,i
896226,PHI,,Lopez Cacayan, Clifford,87,1970,96,
896367,PHI,CCE,Lopez, Henry,67,2281,76,
896194,PHI,,Lopez, Saldy,0,1800,250,i
896072,PHI,,Mabeza, Clark Ian,0,1800,250,i
896285,PHI,,Madrid, Rei.iane,29,1517,107,
896025,PHI,,Malagar, Leo,64,1877,115,i
896217,PHI,CCM,Manaois, Manolito,241,2330,70,
896264,PHI,,Manilay, Frederick,23,2186,117,
896225,PHI,,Marayag, Jose Salvador,53,1955,112,
896037,PHI,,Masangcay, Felix-Joey M.,0,1800,250,i
896286,PHI,,Mauricio, Darwin,14,1307,129,i
896220,PHI,,Medina, Ferdimarc,14,1721,129,i
896015,PHI,,Mendoza, Ruel P.,0,1800,250,i
896161,PHI,,Mialdo, Arfe,6,1800,250,i
896360,PHI,,Miranda, Carl Josh,5,1777,187,
896338,PHI,,Moreno, Luis Zamora,0,1800,250,i
896002,PHI,,Ng, Willy C.,102,1558,106,
896096,PHI,,Nuto, Marceliano Jr.,6,1800,250,i
896031,PHI,,Obadilla, Mitchelle,7,1800,250,i
